Domain (FROM),Connection TO,Original Text,Proposed website text,Comments
GS Social Equity,GS Health,"If Glasgow does not fund or invest in harmful practices that may mean improved health and wellbeing for citizens worldwide (e.g. those harmed through climate breakdown, or in armed conflict and displacement)",,? Not sure about this link to health?
GS Social Equity,GS Income and Work,If Glasgow does not fund or invest in harmful practices that may mean fewer exploited  global workers,Stopping investment in harmful practices and businesses that reduce social equity will reduce exploitation in the global workforce.,
GS Food,LS Income and Work,"Responsibly sourced food ('fair food') is typically more expensive, and therefore potentially unaffordable for many of Glasgow's citizens","Sustainably grown and responsibly sourced food is typically more expensive, and therefore potentially unaffordable within the income of many Glasgow citizens.",
GS Food,LS Health,More plant-based diets have been shown to have health benefits e.g. cardiovascular,Moving to more sustainable plant-based food sources has been shown to have health benefits.,
GS Food,LS Social Equity,"Could have negative impact on social equity if these more globally responsible diets are not equitably available to all Glaswegians, or if they leave some citizens disproportionately poorer",Changing to more globally responsible diets and food sources may reduce social equity if they are not equitably available to all Glaswegians. ,
GS Food,LS Food,Could improve the quality of Glasgow's diets (if affordable/accessible) but otherwise might reduce choice and raise costs,"Changing to more globally responsible food sources could improve the quality of Glaswegian's diets if they are affordable and accessible, but may other reduce choice and increase costs.",
GS Food,LE Cycle Water,"More sustainable, organic, holistic farming and food production local to Glasgow can support better water conservation",More sustainable food production local to Glasgow can support better water conservation.,
GS Food,LE Build and Protect Soil,"More sustainable, organic, holistic farming and food production local to Glasgow can support better soil health and protection of soil nutrients",More sustainable food production local to Glasgow can support better soil health and protection of soil nutrients.,
GS Food,GE Biodiversity Loss,More responsible food production leading to reduced deforestation and land conversion and climate change and nutrient runoff etc. will protect global biodiversity and ecosystems,,"? Leave out: Indirect via land conversion, climate change and fertilizer use?"
GS Food,GE Climate Change,Less farming of livestock that cause large GHG emissions will reduce climate change (e.g. cattle),Reducing livestock farming that causes large greenhouse gas emissions will reduce climate change.,
GS Food,GE Land Conversion,Less intensive farming methods and more plant-based rather than livestock farming requires less land,Less intensive farming methods and more plant-based rather than livestock farming requires less land conversion.,
GS Food,GE Excessive Fertilizer Use,"Less excessive use of fertilizer, more organic farming methods etc. will reduce nutrient runoff and associated harms","Reducing fertilizer use in food growing, by promoting organic farming methods, will reduce nutrient runoff and associated harms.",
GS Food,GE Fresh Water Withdrawal,"Sustainable farming methods prioritise water conservation, so less fresh water withdrawals","Sustainable food production methods prioritise water conservation, reducing fresh water withdrawals.",
GS Food,GS Peace and Justice,Robust and sustainable food supplies can protect peace - hunger and famine can cause conflict and displacement,Robust and sustainable food supplies can protect peace by reducing the displacement and conflict caused by famine. ,
GS Food,GS Health,Ensuring adequate and nutritious diets are available for global populations will improve health and reduce illness/deaths caused by malnutrition etc.,Ensuring adequate and nutritious diets are available for global populations will improve health and reduce illness/deaths caused by malnutrition.,
GS Food,GS Food,Human rights approach to food will prioritise provision of regionally specific/integral foods to local populations e.g. quinoa,,? Leave out - interconnection to itself?
GS Food,GS Income and Work,"Will reduce the number of workers in Glasgow's supply chains that are underpaid and/or exploited.

Changes in demand may reduce global employment in food industries though, threatening existing incomes if not replaced with alternative/better jobs in food production.",Changes to more sustainable food production methods will change the types of work available in this industry.,
GS Food,GS Social Equity,"More responsible food imports to Glasgow will reduce pressure on food supplies for vulnerable global populations, improving equitable access to food worldwide","More responsible food imports to Glasgow will reduce pressure on food supplies for vulnerable global populations, improving equitable access to food worldwide.",
GS Food,GS Energy,"More sustainable and less intensive methods of farming will use less energy, thus conserving more for global populations",More sustainable and less intensive methods of food production will reduce global energy usage.,
GS Food,GS Water,"Less intensively grown, unsustainable crops/livestock that require a lot of water e.g. excessive demand for avocados, or beef, will improve water security for global populations in regions where Glasgow imports food from",More sustainable and less intensive methods of food production will reduce  water consumption and increase water security for global populations.,
GS Water,LS Income and Work,Employment industries in Glasgow e.g. retail/consumption of fast fashion may deplete global water supplies. Responsible global water consumption may therefore put certain jobs based in Glasgow at risk.,"Responsible global water consumption may put certain industries based in Glasgow at risk, e.g. retail/consumption of fast fashion.",
GS Water,GS Food,Water security = important for food security. Responsible water consumption in Glasgow could reduce threats of drought and famine globally.,Responsible water consumption in Glasgow could reduce food insecurity due to threats of drought and famine globally.,
GS Health,LS Health,Reduced recruitment of medical and care staff from countries that need them to stay may (initially) reduce the number of health workers available for Glasgow,,? Leave out - interconnection to itself?
GS Income and Work,LS Income and Work,Fair Trade practices in Glasgow's supply chains may mean the cost of goods imported to Glasgow are higher,,? Leave out - interconnection to itself?
GS Education,LS Education,Mutual education and exchange programmes and opportunities may offer reciprocal benefit and new perspectives to Glasgow students ,,? Leave out - interconnection to itself?
GS Education,GS Equality in Diversity,"Improved education for all may offer more opportunities for women/girls, improving gender equality outcomes","Improved education for all may offer more opportunities for women/girls, improving gender equality outcomes.",
GS Energy,LS Income and Work,"Supporting global energy justice through renewable innovation could offer new, sustainable job and education opportunities in Glasgow",Supporting global energy justice through renewable innovation could offer new sustainable work opportunities in Glasgow,
GS Energy,LS Education,"Supporting global energy justice through renewable innovation could offer now, sustainable job and education opportunities in Glasgow",Supporting global energy justice through renewable innovation could offer new education opportunities in Glasgow,
